:Product: Daily Geomagnetic Data     2017_DGD.txt
:Issued: 2130 UT 07 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2017 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2017 01 01     9  3 3 3 2 1 2 1 1    26  2 4 4 6 5 2 2 1    14  4 4 3 2 2 3 2 2
2017 01 02     5  1 3 1 1 2 1 1 0    23  1 2 6 4 5 3 1 1     7  2 3 2 2 2 2 1 1
2017 01 03     8  0 1 2 4 2 2 2 2    24  1 1 2 6 5 4 3 2    12  1 2 2 4 3 3 3 3
2017 01 04     8  1 1 2 2 2 2 3 3    13  1 1 1 4 4 2 3 3    11  1 2 2 2 2 2 4 4
2017 01 05    15  3 3 2 2 3 3 3 4    23  3 3 3 1 5 5 4 3    18  3 3 2 2 3 4 4 4
2017 01 06    14  3 4 3 2 3 2 2 3    28  4 4 5 4 5 3 4 2    16  4 4 3 2 3 3 3 3
2017 01 07    14  3 2 2 2 4 3 3 3    37  3 2 5 4 7 4 3 3    20  4 3 3 2 4 4 3 3
2017 01 08    11  3 3 2 2 2 2 3 3    26  2 2 3 6 4 4 4 3    16  3 3 2 3 3 3 4 4
2017 01 09     8  3 2 2 1 3 2 1 2    20  4 2 1 3 6 3 2 2    12  4 2 2 2 4 3 2 3
2017 01 10     5  1 1 2 0 1 2 2 2     9  1 1 2 2 3 3 3 1    10  2 2 2 1 1 3 3 3
2017 01 11     7  3 2 2 1 1 2 2 1     7  1 2 2 0 3 2 2 2     8  3 2 2 1 1 2 2 2
2017 01 12     3  1 2 0 0 2 1 1 1     0  0 1 0 0 0 0 0 0     5  2 3 0 0 1 0 1 1
2017 01 13     3  1 1 0 0 1 2 1 1     3  1 1 0 2 2 1 1 0     4  1 1 1 1 1 2 2 1
2017 01 14     3  1 1 1 0 1 2 1 1     1  0 0 2 0 0 0 0 1     4  1 2 1 0 1 1 1 2
2017 01 15     2  1 0 1 1 1 1 1 0     3  0 0 1 2 2 1 1 0     5  2 1 2 1 1 1 2 1
2017 01 16     2  0 1 1 0 1 0 1 0     0  0 0 1 0 0 0 0 0     3  1 1 1 0 0 0 1 1
2017 01 17     3  0 1 0 0 2 2 2 1     2  0 0 0 2 2 1 0 0     4  1 1 0 1 1 2 1 1
2017 01 18    11  1 2 2 2 3 3 3 3    27  0 1 4 5 6 4 3 3    17  1 3 3 3 3 4 4 4
2017 01 19    10  4 2 3 2 2 2 1 2    17  3 2 3 5 4 3 1 1    11  4 3 3 3 2 2 1 2
2017 01 20     9  2 3 2 1 1 1 3 3    10  2 1 3 3 4 1 1 2    11  3 3 2 2 2 1 3 3
2017 01 21     9  3 2 2 2 1 2 2 3    14  2 1 3 4 3 3 3 3    11  3 1 2 2 1 2 3 4
2017 01 22     8  3 3 2 2 2 2 1 1    16  2 1 2 5 5 1 2 1     9  3 3 3 2 2 2 2 2
2017 01 23     2  0 0 1 0 1 2 1 1     2  0 0 1 1 2 1 1 0     5  1 1 1 0 1 2 2 2
2017 01 24     3  2 0 0 0 1 2 0 1     0  0 0 1 0 0 0 0 0     3  2 1 1 0 0 0 1 1
2017 01 25     4  1 3 1 2 1 1 0 0     3  1 1 1 3 0 0 0 0     6  2 3 1 2 0 0 0 1
2017 01 26    11  0 0 2 2 3 3 4 3    24  0 0 1 4 6 4 5 2    13  0 0 2 2 3 4 4 3
2017 01 27    17  3 4 5 2 3 3 1 1    38  3 4 5 6 6 5 1 0    21  4 4 4 3 4 3 2 2
2017 01 28     7  3 3 1 1 1 1 1 2     5  1 2 1 2 2 1 1 1     9  3 3 2 1 1 1 2 3
2017 01 29     5  2 2 1 1 2 2 2 0    10  1 2 1 4 4 2 1 0     7  3 3 2 1 2 2 2 1
2017 01 30     5  0 1 0 1 3 2 1 2     5  0 0 0 3 2 3 1 1     6  1 1 1 1 2 2 1 3
2017 01 31    16  2 2 3 4 3 3 3 4    32  2 2 3 5 4 6 5 4    24  3 3 3 4 3 4 4 5
2017 02 01    19  4 3 3 2 4 4 2 4    47  4 3 5 4 6 7 3 4    29  5 4 3 3 4 5 3 5
2017 02 02    18  4 3 4 3 2 2 3 4    28  3 3 5 5 4 4 4 3    21  4 4 4 3 3 3 4 4
2017 02 03    14  3 3 4 2 2 3 3 2    33  3 3 5 4 5 6 3 3    18  3 4 4 2 3 3 3 3
2017 02 04     8  2 3 3 2 2 1 1 2    15  2 2 5 3 3 3 1 2    11  3 3 3 2 2 2 2 3
2017 02 05    11  2 3 3 2 3 3 2 2    26  2 3 2 5 5 5 4 2    15  3 4 3 2 3 3 3 2
2017 02 06    10  3 3 1 2 2 2 2 3    16  3 3 1 2 5 4 2 2    13  3 3 2 2 2 3 3 4
2017 02 07     5  2 2 1 1 2 1 2 1     8  2 2 1 3 3 2 2 1     7  3 2 1 1 2 2 2 2
2017 02 08     3  1 0 0 1 2 2 1 1     7  0 0 1 3 2 3 2 2     5  1 0 1 1 2 2 1 2
2017 02 09     5  2 1 1 1 2 1 2 2     6  1 0 1 3 2 2 2 1     7  2 1 1 2 1 2 2 2
2017 02 10     5  2 0 1 2 2 2 1 2    11  1 0 1 4 4 4 0 1     8  2 1 2 2 2 3 2 3
2017 02 11     3  2 1 0 1 1 1 1 0     2  1 1 0 2 0 0 0 1     5  3 2 1 1 0 0 1 1
2017 02 12     2  0 0 1 0 1 1 1 0     1  0 0 0 1 0 0 1 0     3  1 0 1 0 1 1 1 1
2017 02 13     2  1 1 0 0 1 1 1 1     2  1 0 0 1 0 1 1 1     5  2 1 0 1 1 2 2 2
2017 02 14     1  0 0 0 0 1 1 1 0     1  0 0 0 0 0 0 1 1     2  0 0 0 0 0 1 1 1
2017 02 15     2  0 0 1 1 1 1 2 0     2  0 0 1 2 0 0 1 0     3  0 0 1 1 1 1 1 1
2017 02 16     7  1 2 2 0 3 3 2 1    31  0 0 3 1 6 7 2 0     9  1 2 2 0 3 3 2 2
2017 02 17    16  1 3 4 4 2 3 2 4    37  1 3 6 6 5 5 3 2    20  2 4 4 4 2 4 3 4
2017 02 18    11  3 4 1 1 1 2 3 3    13  3 4 2 3 2 3 2 2    16  4 4 2 2 1 2 3 3
