:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 07 Jul 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 04 01     4  1 1 2 1 2 1 1 1     3  1 0 2 2 2 0 1 0     5  2 1 1 2 2 1 1 1
2018 04 02     4  1 1 1 0 2 2 1 1     2  1 1 0 2 1 1 0 0     5  2 1 1 1 2 2 1 1
2018 04 03     3  1 2 2 1 0 1 1 0     2  1 1 2 0 0 0 0 0     4  2 2 2 0 0 0 0 0
2018 04 04     4  0 0 1 2 2 2 1 2     6  0 0 0 4 3 1 0 0     5  0 1 1 2 2 2 1 2
2018 04 05     8  2 2 1 1 2 3 3 2     4  2 1 1 1 1 2 2 0     9  3 2 1 1 1 3 3 2
2018 04 06     3  1 1 0 1 1 2 1 1     2  1 0 0 1 1 1 0 0     4  1 1 1 1 1 2 1 1
2018 04 07     4  0 1 1 1 2 1 1 2     2  1 1 1 1 1 0 0 0     5  1 1 1 1 1 1 0 2
2018 04 08     5  1 2 1 1 1 1 2 2     2  1 1 0 1 0 1 0 1     5  1 2 0 1 1 2 2 2
2018 04 09    11  2 1 3 2 2 2 3 4    12  1 1 3 3 4 2 2 3    11  2 1 3 2 2 2 2 4
2018 04 10    14  2 4 4 2 3 2 2 3    34  3 4 5 4 6 5 3 3    18  2 4 4 3 3 3 2 3
2018 04 11    12  4 3 4 2 2 0 1 2    22  4 4 6 4 2 1 1 1    14  5 4 4 2 2 0 1 2
2018 04 12     8  2 2 3 1 2 2 2 2    11  2 1 3 4 3 2 1 2     9  2 2 3 2 2 2 2 3
2018 04 13     8  3 2 2 2 2 1 2 2     9  3 2 3 3 3 0 1 1     9  4 2 2 2 2 1 2 2
2018 04 14     6  1 1 0 1 3 2 2 2     2  1 1 0 0 1 1 1 0     6  2 2 0 1 2 2 2 2
2018 04 15     5  2 1 1 1 2 1 2 1     6  1 1 3 2 3 1 0 0     6  2 2 1 1 2 1 1 2
2018 04 16     3  1 1 0 1 2 1 1 0     1  0 0 0 2 0 0 0 0     3  1 1 0 1 1 0 0 1
2018 04 17     3  0 1 1 1 2 1 1 1     1  0 0 1 0 1 0 0 0     4  1 1 1 1 1 1 0 2
2018 04 18     6  1 2 1 2 2 2 2 1     8  1 1 2 3 4 2 1 0     6  1 2 1 2 2 2 1 1
2018 04 19     2  0 0 1 1 2 0 1 0     1  0 0 0 2 0 0 0 0     3  0 1 0 2 1 0 1 0
2018 04 20    29  3 4 6 4 4 3 4 3    56  1 5 7 7 4 5 4 3    47  4 5 6 6 4 4 5 3
2018 04 21    10  3 2 3 1 2 2 3 2    28  3 2 5 5 5 5 2 1    12  3 3 3 2 2 3 3 1
2018 04 22     5  2 2 1 1 2 1 1 2     5  2 1 2 1 2 1 1 1     5  2 2 2 1 2 1 1 2
2018 04 23     6  2 2 1 2 3 0 2 1     5  2 2 0 0 2 2 2 2     6  3 2 1 1 1 1 2 2
2018 04 24     4  1 0 2 1 2 1 1 2     3  0 0 2 0 2 1 1 1     5  1 0 2 1 2 1 2 2
2018 04 25     4  2 2 2 0 2 1 0 1     3  1 2 2 1 1 0 0 0     5  2 2 2 1 1 0 0 1
2018 04 26     4  2 1 1 1 2 0 1 1     4  1 0 0 3 2 0 1 1     4  2 1 1 1 1 0 1 2
2018 04 27     5  1 0 0 1 2 2 2 3     4  1 0 0 0 1 3 2 1     6  1 0 1 1 2 3 2 2
2018 04 28     5  2 1 1 1 2 1 2 1     2  2 1 1 1 0 0 0 0     4  2 1 1 1 1 1 1 1
2018 04 29     3  0 0 1 1 2 1 1 2     0  0 0 0 0 0 0 0 0     4  1 0 1 1 2 1 0 1
2018 04 30    10  2 2 1 2 3 2 4 1     3  3 1 0 1 0 1 0 0     6  3 2 1 1 2 2 2 1
2018 05 01     3  0 1 1 1 2 0 1 1     1  1 1 0 0 0 0 0 1     3  0 1 1 0 1 0 1 1
2018 05 02     5  1 2 1 2 2 1 2 0     2  1 1 1 2 0 0 0 0     4  1 2 1 1 1 1 1 0
2018 05 03     3  0 0 0 1 2 1 1 2     0  0 0 0 0 0 0 0 1     4  1 1 1 1 1 1 1 2
2018 05 04     4  0 1 1 1 2 2 2 1     1  0 1 0 1 0 0 0 0     4  1 1 1 1 1 1 1 1
2018 05 05    12  1 1 1 3 3 3 3 4    27  1 1 0 2 5 6 5 4    20  1 1 0 3 3 5 4 5
2018 05 06    24  5 4 3 3 3 3 4 4    29  4 5 4 5 5 3 2 3    31  6 4 3 3 3 3 4 5
2018 05 07    14  3 4 3 2 3 2 2 3    31  3 5 5 4 5 5 1 2    17  4 4 3 2 3 3 2 3
2018 05 08    12  2 3 3 3 2 3 3 2    27  3 5 4 5 3 5 2 2    14  3 3 3 3 2 4 4 2
2018 05 09    13  3 3 3 2 3 2 3 3    29  3 3 6 4 5 3 3 3    16  3 3 3 2 3 2 4 4
2018 05 10    11  3 2 4 3 2 2 1 2    21  3 2 4 5 4 4 2 2    12  3 3 3 3 2 3 1 2
2018 05 11    19  2 4 3 2 4 2 5 3    28  2 3 6 4 5 4 2 3    16  2 4 4 2 3 2 4 4
2018 05 12    10  3 4 2 2 2 1 2 2     9  3 3 2 4 1 0 1 1    10  3 4 2 2 1 1 2 2
2018 05 13    10  1 2 3 3 3 2 2 2    12  1 1 3 5 3 2 1 1     8  2 2 2 2 2 2 2 2
2018 05 14     5  1 1 1 1 2 1 2 2     5  2 1 1 1 3 1 0 1     5  2 1 2 1 1 1 1 2
2018 05 15     5  1 1 1 1 2 2 1 2     2  1 1 1 0 0 1 0 1     4  1 1 1 1 1 1 1 2
2018 05 16     3  0 0 0 1 2 1 2 1     1  0 0 0 0 0 0 1 1     4  0 0 1 1 1 1 2 2
2018 05 17     9  2 2 2 2 3 2 3 2    15  2 2 1 3 5 4 2 2    10  3 2 2 3 3 2 2 2
2018 05 18     3  1 1 1 1 2 0 1 1     7  2 2 1 3 3 1 1 0     4  2 1 1 1 1 1 1 1
2018 05 19     3  0 0 0 1 2 2 1 1     0  0 0 0 0 0 1 0 0     3  0 1 0 1 1 1 1 1
2018 05 20     3  0 1 1 1 1 2 1 0     2  1 1 1 1 2 0 0 0     3  1 1 2 1 1 1 0 0
2018 05 21     3  0 1 0 2 1 1 1 1     1  0 1 0 2 0 0 0 0     3  0 1 1 1 0 1 0 1
2018 05 22     6  0 1 3 1 1 2 2 2     6  0 1 4 1 1 1 2 1     5  1 1 2 1 1 1 2 2
2018 05 23    10  2 3 3 2 3 2 2 2    18  2 3 4 5 4 3 0 1     9  2 2 3 3 3 2 1 2
2018 05 24     5  2 2 1 1 2 2 1 1     1  1 1 0 1 0 0 0 0     4  2 2 1 1 1 1 1 1
2018 05 25     4  1 0 0 1 2 1 3 0     2  2 1 1 1 1 0 0 0     3  2 1 0 1 1 0 1 0
2018 05 26     5  0 1 1 1 3 1 2 2     2  0 1 0 0 1 0 1 1     4  0 1 1 1 2 1 1 2
2018 05 27     5  2 2 1 2 2 1 1 1     5  2 2 0 3 2 0 1 1     4  2 2 1 1 1 1 1 1
2018 05 28     4  1 1 1 2 2 1 1 1     2  0 1 1 1 1 0 1 0     4  1 1 1 1 2 1 1 1
2018 05 29     5  2 2 1 2 2 1 1 1     2  1 2 1 0 0 0 1 0     4  1 2 1 1 1 1 1 1
2018 05 30     5  1 1 1 1 2 2 2 2     2  0 1 1 0 0 0 2 1     4  1 1 1 1 1 1 2 2
2018 05 31    11  2 2 1 2 3 3 3 3     9  2 2 0 3 1 3 3 2    12  2 2 1 2 2 4 4 3
2018 06 01    19  3 3 4 3 4 4 3 2    46  3 5 6 5 6 6 2 2    26  3 4 4 4 5 4 3 3
2018 06 02    14  3 3 3 2 3 3 3 3    25  3 4 4 5 5 2 3 3    17  3 4 3 2 3 2 4 4
2018 06 03     9  3 2 1 2 2 3 2 2    15  3 2 1 5 4 2 2 2     9  3 2 1 2 3 3 2 2
2018 06 04     5  1 2 1 1 2 1 2 1     4  2 2 1 2 1 1 1 0     5  1 2 2 1 1 1 2 1
2018 06 05     6  2 2 1 2 2 2 2 1     7  2 2 1 3 3 1 1 1     6  2 2 2 2 2 2 2 1
2018 06 06     9  1 2 0 2 2 3 4 2     5  1 1 0 0 2 2 3 1     7  1 1 0 1 1 2 4 2
2018 06 07     6  2 2 1 1 2 2 1 2     3  1 2 1 1 1 1 0 0     6  3 2 1 1 1 1 1 2
2018 06 08     5  1 3 1 2 2 1 0 0     6  2 2 0 3 3 0 0 0     4  1 2 1 2 2 0 0 0
2018 06 09     5  1 1 1 2 2 1 2 1     3  0 1 1 3 0 1 1 0     4  1 1 1 2 1 1 1 1
2018 06 10     4  1 2 1 1 2 1 2 0     0  0 1 0 0 0 0 0 0     4  1 2 1 0 1 1 1 1
2018 06 11     4  1 0 0 1 2 2 1 2     1  1 1 0 0 0 1 0 0     4  1 1 1 0 1 1 0 2
2018 06 12     5  2 2 1 1 2 1 1 1     2  1 1 1 0 0 0 0 1     4  2 2 1 0 1 0 1 1
