:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2131 UT 07 Oct 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 07 01     4  1 1 1 2 2 1 1 1     0  1 0 0 0 0 0 0 0     3  0 1 1 1 1 0 0 1
2018 07 02     4  1 1 0 1 2 2 2 1     0  0 1 0 0 0 0 0 0     3  1 1 1 1 1 1 1 0
2018 07 03     5  1 1 0 2 2 2 2 1     2  0 0 0 0 1 2 1 1     4  0 1 1 1 1 2 1 1
2018 07 04     4  1 1 1 1 2 2 1 1     5  0 2 2 1 3 1 1 0     5  1 1 2 1 2 1 1 1
2018 07 05    11  2 1 0 2 3 3 4 3    13  2 1 1 2 4 4 3 3    17  2 1 1 2 3 4 5 4
2018 07 06     8  3 2 2 2 2 1 2 2     8  2 3 1 3 3 1 1 1     7  3 2 1 2 2 1 1 2
2018 07 07     6  2 2 1 2 2 2 2 1     4  2 2 2 1 1 1 1 0     5  2 2 1 2 1 1 2 0
2018 07 08     6  1 1 1 2 3 1 1 2     2  1 1 1 1 1 0 0 1     4  1 1 1 1 1 1 1 1
2018 07 09     5  1 1 1 1-1 2 2 2     1  1 1 0 0 0 0 0 0     3  1 1 0 1 0 0 0 1
2018 07 10    11  2 3 3 2 3 2 3 1     6  2 2 2 3 2 1 0 0     7  2 2 2 2 2 1 1 1
2018 07 11     8  0 2 2 2 3 3 2 2    12  0 1 2 5 4 1 1 1     8  0 2 3 3 3 2 2 2
2018 07 12     8  1 2 3 2 2 2 2 2    10  1 1 4 3 3 1 1 2     8  1 3 3 2 2 2 2 2
2018 07 13     6  2 2 2 2 1 2 1 1     4  2 2 1 1 2 1 1 0     6  2 2 2 1 1 2 1 1
2018 07 14     4  1 1 1 2 2 1 1 1     4  1 1 1 3 2 0 0 0     5  1 2 2 2 2 1 1 0
2018 07 15     4  1 1 1 2 2 1 1 1     2  1 0 1 1 1 0 0 0     4  1 1 1 1 1 0 1 1
2018 07 16     8  1 2 2 2 2 2 3 2    14  1 2 4 5 2 2 1 2     9  1 2 3 2 2 2 3 3
2018 07 17     9  1 3 4 2 2 2 1 1    20  1 4 4 2 2 2 1 6     9  1 3 3 2 1 2 1 2
2018 07 18     4  1 1 1 1 2 1 1 1     1  1 1 0 0 0 0 1 0     4  1 1 1 1 1 1 1 1
2018 07 19     4  1 0 1 2 1 2 2 1     2  1 0 1 1 0 1 1 1     4  1 1 1 1 1 1 1 1
2018 07 20     7  2 1 2 3 2 1 2 2    15  2 1 2 5 5 1 1 1     7  2 1 2 3 2 1 2 2
2018 07 21    10  2 2 3 3 3 2 2 2    27  2 3 4 6 5 4 2 1    11  2 2 3 3 3 2 2 2
2018 07 22     5  2 2 1 2 2 1 1 1     6  1 2 2 4 1 1 0 0     5  2 1 2 2 1 1 1 1
2018 07 23     4  1 1 1 2 2 1 1 1     2  0 1 1 2 1 0 1 0     4  0 1 1 1 1 0 1 1
2018 07 24    16  3 4 4 3 3 2 2 3    24  3 4 5 4 4 4 1 3    17  4 3 3 3 2 3 3 4
2018 07 25    10  3 3 3 2 3 0 2 2    11  3 4 3 3 2 1 1 1     9  3 3 2 2 1 1 1 2
2018 07 26     6  1 2 1 2 3 1 1 1     2  1 1 1 0 1 0 0 1     4  1 1 1 1 2 1 0 1
2018 07 27     4  0 1 1 1 2 2 1 2     2  0 1 0 0 0 1 1 1     4  1 1 1 1 1 1 1 2
2018 07 28     6  2 2 1 2 2 2 1 1    11  1 2 0 5 4 1 1 0     5  2 2 2 2 2 1 1 1
2018 07 29     5  2 1 1 2 2 1 2 1     6  1 1 2 4 2 0 0 1     5  2 1 1 1 1 1 2 1
2018 07 30     5  1 1 1 2 1 2 2 2     2  1 1 0 0 0 0 1 1     5  1 1 1 1 1 1 2 2
2018 07 31     5  2 1 0 1 2 1 2 2     3  2 2 0 0 0 1 1 2     6  2 1 1 1 1 1 2 3
2018 08 01     5  2 1 0 1 2 1 2 2     3  1 1 0 1 1 1 1 2     6  2 1 1 1 2 2 2 3
2018 08 02     6  3 2 2 2 2 0 1 1     4  3 2 1 1 0 0 0 0     6  3 2 2 1 1 0 0 1
2018 08 03     6  1 1 1 3 3 1 1 1    13  1 1 2 6 2 1 1 0     6  1 1 1 3 2 1 1 1
2018 08 04     8  3 3 1 2 2 1 2 1     2  1 1 0 2 0 0 0 0     5  2 2 1 2 1 1 1 2
2018 08 05     6  1 1 1 2 3 1 2 2     4  1 1 1 3 2 0 0 0     4  1 1 1 2 1 1 0 1
2018 08 06     5  0 1 1 1 3 2 1 1     1  0 1 0 0 0 0 1 0     4  0 1 1 1 2 1 1 1
2018 08 07    11  2 2 2 3 3 2 3 3    13  2 3 1 2 5 3 2 1    10  2 2 2 2 3 2 3 2
2018 08 08     6  1 2 2 1 3 1 1 2     6  1 1 2 3 3 1 0 1     5  1 1 2 1 2 1 1 1
2018 08 09     6  1 1 2 2 2 0 3 2     4  1 0 2 3 2 0 0 0     5  1 1 2 2 1 0 1 1
2018 08 10     4  1 1 1 1 2 1 1 1     1  1 1 0 0 0 0 0 1     4  1 1 1 0 1 1 1 1
2018 08 11    11  1 2 3 2 4 2 2 3     8  1 2 2 2 3 2 2 2    11  2 2 2 2 3 2 2 4
2018 08 12     6  2 1 1 1 3 1 2 1     8  1 1 0 4 4 1 1 0     5  1 1 1 2 2 1 2 2
2018 08 13     6  0 2 1 2 3 2 2 1     6  1 1 1 3 4 0 0 0     5  1 2 1 2 2 1 1 1
2018 08 14     6  1 1 1 2 3 1 2 2     2  0 0 1 1 1 0 0 1     4  2 1 1 1 1 0 0 2
2018 08 15    12  2 2 3 3 3 2 3 3    30  1 1 4 6 6 4 3 2    14  2 1 2 3 4 3 3 4
2018 08 16    11  4 2 3 2 2 1 2 3    20  3 3 3 5 5 2 1 2    11  4 2 3 2 2 2 2 3
2018 08 17    14  4 4 2 2 2 1 3 3    13  3 4 4 3 1 0 2 2    13  3 4 3 2 1 1 3 3
2018 08 18    11  1 3 4 3 3 2 1 1    39  1 4 6 7 4 4 2 1    12  2 3 4 3 3 3 1 2
