:Product: Daily Geomagnetic Data     2018_DGD.txt
:Issued: 0000 UT 01 Jan 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Quarterly Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 01 01     8  3 3 1 2 2 2 1 1    23  2 4 5 5 5 1 0 0    11  3 4 2 2 3 1 1 1
2018 01 02     4  1 1 1 1 2 1 2 1     3  0 0 0 1 2 2 1 0     5  2 1 1 1 2 1 2 1
2018 01 03     3  0 1 1 1 1 2 1 0     2  0 0 1 2 0 1 0 0     4  1 1 1 1 1 1 1 1
2018 01 04     3  1 0 1 0 1 1 2 1     2  0 0 1 1 1 0 1 0     4  1 1 1 0 1 0 2 1
2018 01 05     5  1 2 2 1 2 2 1 1     4  0 0 3 2 1 1 1 0     5  1 2 2 1 1 1 1 2
2018 01 06     2  1 0 0 0 1 2 1 0     1  1 0 1 1 0 0 0 0     3  2 0 1 0 0 0 1 0
2018 01 07     2  1 0 0 0 1 2 1 1     0  0 0 0 0 0 0 0 0     3  1 0 0 0 0 1 1 1
2018 01 08     9  0 0 3 2 4 2 2 2    15  0 0 2 2 5 5 2 1     9  0 0 3 1 4 3 2 2
2018 01 09     7  3 2 2 1 2 2 2 1    10  2 2 2 4 3 3 0 0     9  4 2 2 2 2 2 2 2
2018 01 10     4  2 1 1 2 1 2 1 0     2  0 0 1 2 1 1 0 0     5  2 2 1 1 1 1 1 0
2018 01 11     2  0 1 0 0 1 2 1 0     0  0 0 0 0 0 0 0 0     2  0 1 0 0 1 1 1 1
2018 01 12     3  0 1 1 1 1 2 1 0     3  0 0 1 3 2 0 0 0     4  1 1 1 1 1 2 1 0
2018 01 13     7  0 1 1 1 2 3 3 2     9  0 0 1 4 4 2 1 1     7  0 1 2 1 2 2 3 2
2018 01 14    11  4 4 2 1 2 1 1 2    12  2 4 4 2 3 2 0 1    14  5 4 2 2 2 2 1 2
2018 01 15     7  3 2 3 2 1 1 1 1    12  2 2 4 3 3 3 1 1     9  4 2 3 2 1 2 2 2
2018 01 16     3  1 0 0 2 2 1 1 0     7  1 0 0 5 1 0 0 0     4  2 0 1 2 1 1 1 1
2018 01 17     1  0 0 0 0 1 1 1 0     2  0 0 0 3 0 0 0 0     3  1 0 0 1 1 0 1 1
2018 01 18     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2  0 1 0 0 0 1 1 1
2018 01 19     6  1 3 2 1 1 2 1 2     9  0 2 4 4 1 0 1 1     8  1 3 3 2 1 1 2 2
2018 01 20     5  2 2 2 1 1 1 1 1    12  2 2 5 3 2 1 1 1     8  3 3 3 1 1 1 2 1
2018 01 21     8  0 1 2 3 3 2 2 2    18  0 0 3 3 6 3 3 2    10  1 1 2 3 3 2 3 3
2018 01 22     8  2 2 2 2 2 2 3 2     9  1 2 3 3 3 1 2 2    12  3 3 2 2 1 2 3 3
2018 01 23     3  2 1 0 1 1 1 1 0     4  1 1 1 2 3 0 0 0     4  2 2 1 1 1 1 0 0
2018 01 24     6  0 1 1 1 2 3 1 3    13  0 0 0 1 5 5 1 1     9  0 1 0 1 3 3 1 4
2018 01 25     9  3 3 2 2 1 2 2 2    11  2 1 2 3 2 4 3 1    10  3 3 2 2 1 3 2 2
2018 01 26     7  3 2 3 1 1 2 1 1     5  2 2 3 2 0 0 0 1     8  3 2 3 1 0 1 2 2
2018 01 27     5  2 2 1 2 1 1 1 1     7  2 1 1 3 3 1 1 1     6  3 2 1 2 1 1 2 1
2018 01 28     2  1 1 0 0 1 1 1 1     5  1 0 0 3 3 2 1 0     4  1 1 0 1 2 1 1 2
2018 01 29     3  1 0 1 2 1 1 1 1     5  0 0 1 3 3 1 0 0     4  1 0 2 2 1 1 1 1
2018 01 30     3  0 2 2 0 1 1 1 0     2  0 0 2 2 0 0 0 0     5  1 3 2 1 1 0 1 1
2018 01 31     5  0 0 2 2 2 2 1 2    16  0 0 4 5 5 1 0 1     7  0 0 2 2 2 2 1 3
2018 02 01     2  2 0 0 1 0 0 1 1     2  1 0 1 1 0 0 0 1     4  2 1 0 1 0 0 1 1
2018 02 02     3  2 1 1 1 1 1 0 1     2  1 0 2 1 0 0 0 0     4  2 1 1 1 1 1 0 0
2018 02 03     2  0 0 1 0 1 1 1 1     3  0 0 1 3 1 0 0 0     3  0 0 1 1 0 1 2 1
2018 02 04     3  0 1 0 1 1 1 2 1     1  0 0 0 1 0 0 1 0     3  0 1 0 1 0 1 2 1
2018 02 05     8  3 2 2 2 3 2 1 1    17  1 1 5 4 5 1 0 0     8  3 2 2 2 3 2 1 1
2018 02 06     4  1 2 1 1 1 1 1 1    10  0 0 2 5 4 0 0 0     5  1 2 2 2 1 0 1 1
2018 02 07     3  0 1 1 2 2 1 1 0     4  0 0 1 3 3 0 0 0     4  1 1 1 2 2 0 0 0
