:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 27 Mar 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2019 01 01     5  1 1 3 1 2 1 1 0    14  0 0 3 5 5 1 0 0     6  1 1 3 2 2 1 0 1
2019 01 02     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 0 1 0 1
2019 01 03     2  1 0 0 1 1 1 0 0     1  0 0 0 1 1 0 0 0     2  1 0 0 1 1 0 0 1
2019 01 04     7  1 1 1 2 2 2 2 3    11  0 0 3 3 3 4 2 2     9  1 1 1 2 2 3 3 3
2019 01 05    11  4 3 2 2 2 2 2 2    17  3 5 2 3 4 3 1 1    15  5 4 2 2 2 2 2 3
2019 01 06     9  1 3 2 2 2 2 3 2    14  1 2 2 4 4 3 3 2     9  2 3 2 2 2 2 3 2
2019 01 07     6  2 2 2 2 2 1 1 1     7  2 1 2 4 3 0 0 0     7  2 3 2 2 2 1 1 2
2019 01 08     5  2 2 1 2 2 1 1 1     4  1 1 1 3 1 0 1 0     6  2 2 2 2 2 1 1 1
2019 01 09     3  2 0 1 2 1 1 0 1     6  0 0 3 4 0 0 1 1     4  2 0 1 2 1 0 1 1
2019 01 10     3  1 1 1 1 1 1 1 1     4  0 1 1 2 3 1 0 0     4  1 1 1 1 2 0 0 1
2019 01 11     5  2 2 3 1 1 1 1 0     5  0 0 4 1 2 0 0 0     7  2 1 4 1 1 1 1 1
2019 01 12     2  1 0 0 0 2 1 0 0     1  0 0 0 0 2 0 0 0     3  1 1 0 0 1 1 1 1
2019 01 13     3  1 2 0 1 1 1 0 1     1  0 1 0 1 0 0 0 1     3  0 2 1 1 0 0 1 1
2019 01 14     6  2 2 2 2 1 2 1 2     5  0 0 3 2 1 1 2 1     6  2 2 2 2 1 2 1 2
2019 01 15     4  2 0 1 1 1 2 2 1     2  0 1 0 0 2 1 1 1     5  3 1 1 1 1 1 2 1
2019 01 16     5  1 2 2 1 0 1 2 2     2  0 0 2 0 0 0 1 2     6  1 2 2 1 0 1 2 3
2019 01 17     5  2 1 1 2 1 2 1 2     4  2 0 0 0 1 3 1 1     7  3 2 1 1 1 2 2 2
2019 01 18     5  2 2 1 2 2 1 1 1     6  2 0 0 4 2 1 1 0     6  2 2 1 2 2 1 1 1
2019 01 19     2  0 1 0 2 0 0 0 2     3  0 0 1 3 0 0 1 1     4  1 1 0 2 0 0 1 3
2019 01 20     2  2 1 0 0 1 0 1 1     3  1 1 1 2 2 1 0 0     4  2 1 1 1 1 1 1 1
2019 01 21     2  1 0 0 0 1 1 1 1     1  0 0 0 1 0 1 0 0     4  1 0 0 1 1 1 2 2
