:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 1230 UT 29 May 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2019 04 01     6  2 1 2 3 2 1 1 0    22  1 1 5 6 4 3 1 0     8  2 2 2 4 2 2 1 0
2019 04 02     5  1 0 0 1 1 1 3 3     2  1 0 0 0 2 1 1 1     6  1 1 1 1 1 1 3 3
2019 04 03    12  2 4 3 2 2 2 2 3    24  2 3 4 5 6 2 1 2    12  3 4 3 2 3 2 2 3
2019 04 04     8  2 2 2 2 2 3 2 1    15  2 2 2 5 3 4 2 1    10  3 2 2 3 2 3 2 1
2019 04 05    10  3 3 2 2 2 3 2 2    20  2 3 3 5 5 3 2 2    14  3 3 3 2 3 3 2 3
2019 04 06     7  2 3 2 2 2 1 1 1     5  2 2 2 3 1 1 0 0     7  2 3 2 2 1 1 2 1
2019 04 07     5  0 2 2 1 2 2 1 2     4  1 1 1 2 3 1 0 0     5  1 2 1 1 2 1 1 2
2019 04 08    12  2 4 3 2 3 2 2 2    24  2 4 4 4 6 3 2 1    13  3 4 3 2 3 3 2 2
2019 04 09    11  4 2 3 3 2 1 1 2    14  2 2 4 4 3 3 2 2    11  4 2 3 3 2 2 2 2
2019 04 10    10  3 3 3 1 3 2 2 1    19  4 4 4 2 4 4 2 1    14  4 4 3 1 2 3 3 2
2019 04 11     6  1 2 3 2 2 2 1 0    11  2 2 2 4 3 3 1 1     7  2 3 2 2 2 2 1 1
2019 04 12     7  3 2 1 1 2 2 2 2    14  2 2 3 3 5 2 2 2     9  3 2 2 1 2 1 2 3
2019 04 13     7  3 3 1 1 2 1 1 1     4  1 3 2 0 1 0 1 1     8  3 3 2 1 1 1 2 1
2019 04 14     3  0 2 2 0 1 1 0 1     3  1 1 3 1 0 0 0 0     4  0 2 2 1 0 1 0 1
